name,url,price_per_lb,total_price,bag_size,bag_type,country,region,altitude,grower,variety,process,flavor_notes,about,warehouse,position,certifications,is_staff_pick,inventory,overview_text,taste_text,source_text,word_cloud,sweetness,acidity,viscosity,balance,watchlist_match,watchlist_farm,watchlist_tier,watchlist_credential_type,watchlist_credential_detail,watchlist_notes,watchlist_url
Colombia Narino Excelso EP,https://royalcoffee.com/product/3427097000055376361/,,$680.55,154.32 lb,Full Bag,Colombia,"Nariño, Colombia",1750 - 2100 masl,Producers from Nariño,"Caturra, Castillo, and Typica","Fully washed after pulping and fermenting, then dried on raised beds under solar canopy",,"In Colombia the vast majority of coffee is cultivated, harvested and processed on small family owned farms. While these producers are their own architects, designing farm management and post-harvest solutions to fit their needs, they also need strong alliances to bring their coffee to the international market and earn fair prices. To support this system of small farm production, Colombia established the Federación Nacional de Cafeteros de Colombia (FNC) to organize and support a complex network of larger regional coffee cooperatives. These cooperatives provide producers with valuable logistical support like centralized warehouses to store dried parchment and dry mills where the coffee is prepared for export according to size. The Excelso grade is the designation for beans that will not pass through a screen opening below 14/64 of an inch. Excelso lots are often traceable to regions of Colombia, each with distinct harvest times, which provides for a constant supply of fresh Colombian Excelso throughout the calendar year.",Oakland,SPOT,Conventional,,275 Bags,,,,,,,,,,,,,,,
Colombia Narino Excelso EP,https://royalcoffee.com/product/3427097000055376367/,,$686.72,154.32 lb,Full Bag,Colombia,"Nariño, Colombia",1750 - 2100 masl,Producers from Nariño,"Caturra, Castillo, and Typica","Fully washed after pulping and fermenting, then dried on raised beds under solar canopy",,"In Colombia the vast majority of coffee is cultivated, harvested and processed on small family owned farms. While these producers are their own architects, designing farm management and post-harvest solutions to fit their needs, they also need strong alliances to bring their coffee to the international market and earn fair prices. To support this system of small farm production, Colombia established the Federación Nacional de Cafeteros de Colombia (FNC) to organize and support a complex network of larger regional coffee cooperatives. These cooperatives provide producers with valuable logistical support like centralized warehouses to store dried parchment and dry mills where the coffee is prepared for export according to size. The Excelso grade is the designation for beans that will not pass through a screen opening below 14/64 of an inch. Excelso lots are often traceable to regions of Colombia, each with distinct harvest times, which provides for a constant supply of fresh Colombian Excelso throughout the calendar year.",Vancouver,SPOT,Conventional,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC HUILA ECOTERRA,https://royalcoffee.com/product/3427097000053753191/,,$828.70,154.32 lb,Full Bag,Colombia,,,,,,,We're excited to offer this new product and we're actively working on compiling information on this coffee. Please check back soon for more details.,Oakland,SPOT,,,145 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC HUILA EL BOMBO,https://royalcoffee.com/product/3427097000053126333/,,$836.41,154.32 lb,Full Bag,Colombia,"Laguna del Bombo, La Laguna, El Paraíso, El Porvenir, Alto Planes, Laguna Verde, and Laguna Chiquita , Huila, Colombia",1600-2000 masl,Asociación del Bombo,"Caturra, Castillo, and Colombia",Fully washed and dried in the sun,,"COLOMBIA ORGANIC HUILA EL BOMBO is sourced from family-owned farms organized around El Bombo, a producer association with 100 members who live in the communities of Laguna del Bombo, La Laguna, El Paraíso, El Porvenir, Alto Planes, Laguna Verde, and Laguna Chiquita within the municipality of Pitalito in the department of Huila, Colombia.El Bombo was founded in 2013 to focus on quality coffee production and to establish direct trade relationships.  El Bombo collaborates with an export company called Lohas Beans to establish connections in the specialty coffee market, which has improved coffee prices for its members and enables farmers to reinvest in their farms and provide for their families.  El Bombo has also successfully built their own cupping lab, which provides members with cupping data on 100% of their harvest.  This immediate feedback has helped members make informed decisions about farm management and post-harvest processing.",Vancouver,SPOT,Organic,,183 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC HUILA EL BOMBO,https://royalcoffee.com/product/3427097000053753186/,,$657.40,154.32 lb,Full Bag,Colombia,"Laguna del Bombo, La Laguna, El Paraíso, El Porvenir, Alto Planes, Laguna Verde, and Laguna Chiquita , Huila, Colombia",1600-2000 masl,Asociación del Bombo,"Caturra, Castillo, and Colombia",Fully washed and dried in the sun,,"COLOMBIA ORGANIC HUILA EL BOMBO is sourced from family-owned farms organized around El Bombo, a producer association with 100 members who live in the communities of Laguna del Bombo, La Laguna, El Paraíso, El Porvenir, Alto Planes, Laguna Verde, and Laguna Chiquita within the municipality of Pitalito in the department of Huila, Colombia.El Bombo was founded in 2013 to focus on quality coffee production and to establish direct trade relationships.  El Bombo collaborates with an export company called Lohas Beans to establish connections in the specialty coffee market, which has improved coffee prices for its members and enables farmers to reinvest in their farms and provide for their families.  El Bombo has also successfully built their own cupping lab, which provides members with cupping data on 100% of their harvest.  This immediate feedback has helped members make informed decisions about farm management and post-harvest processing.",Oakland,SPOT,Organic,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC HUILA FLORESCENCIA WOMENS COFFEE,https://royalcoffee.com/product/3427097000056174058/,,$745.37,154.32 lb,Full Bag,Colombia,"Pitalito, San Agustín, Oporapa and Saladoblanco municipalities, Huila, Colombia",1700 - 1950 masl,"40 women producers from Pitalito, San Agustín, Oporapa and Saladoblanco","Castillo, Caturra, and Colombia",Fully washed and dried in the sun,,"Sourcing Details:Want to support women in coffee? Florescencia is a group of 40 women producers in Huila organized through the Asociación Ecoterra SAS, who are working together to find an international market for their coffee.  Organizing as a group was a critical first step because these women are individually cultivating coffee on small farms of just a few acres.  The women have leaders from each community to establish a larger network of support.  The model of collaboration produces traceable community blends with vibrant regional profile.Processing Details:This particular lot was produced by 40 women producers who cultivate coffee in the municipalities of Pitalito, San Agustin, Oporapa, and Saladoblanco.  During the harvest, each producer follows a strict protocol which includes picking cherries at optimum ripeness, hand sorting, floating to remove damaged and undeveloped beans, depulping and fermenting for prolonged periods of up to 70 hours.  After fermentation, the parchment covered seed is washed and placed on patios or raised beds to slowly dry to 11%.Exporting Details:An export company called Mastercol provides crucial logistical support for things like warehousing and milling coffee for export to the international market, which provides better income for everyone to reinvest in their farms and strengthen their families’ livelihoods.",Vancouver,SPOT,Organic,,100 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC NARINO,https://royalcoffee.com/product/3427097000056374012/,,$765.43,154.32 lb,Full Bag,Colombia,"Arboleda, San Lorenzo, San Pedro de Cartago,and La Unión, Nariño, Colombia",1800 – 2100 masl,117 producers organized around Ecoterra SAS,"Colombia, Caturra, and Typica",Fully washed and dried on patios and elevated tables inside solar dryers that provide protection from the rain,,"Ever stop to think about all the variables that factor into creating a distinct, complex, clean and consistent regional blend? It is mind boggling if you think about the terroir to processing and everything in between. And what about the human factor from farm management all the way through to brewing.  But if you think about it, the backbone of Colombian offerings are regional blends cultivated in many parts on small family-owned farms. It’s hard to pinpoint why some regional blends rise to the top each year but it sure is exciting when they do. This traceable community blend with a vibrant regional profile comes from an association called Ecoterra SAS, which has 117 members with small farms in the Department of Nariño.  This particular lot comes from producers in the communities of la Union, San Pedro de Cartago, Arboleda and San Lorenzo, who have 1-acre farms. Each producer has their own micro-mill where they carefully harvest cherries, depulp, ferment, wash and gently dry the parchment on raised beds. Imagine the harmony between these producers in farm management and post-harvest practices to achieve a clean and consistent blend. But also, just enough differences from farm to farm to create a rich complexity of flavors. An export company called Mastercol provides crucial logistical support for things like warehousing and milling coffee for export to the international market, which provides better income for everyone to reinvest in their farms and strengthen their families’ livelihoods.",Vancouver,SPOT,Organic,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC NARINO,https://royalcoffee.com/product/3427097000051980344/,$5.21,$742.28,154.32 lb,Full Bag,Colombia,"Arboleda, San Lorenzo, San Pedro de Cartago,and La Unión, Nariño, Colombia",1800 – 2100 masl,117 producers organized around Ecoterra SAS,"Colombia, Caturra, and Typica",Fully washed and dried on patios and elevated tables inside solar dryers that provide protection from the rain,,"Ever stop to think about all the variables that factor into creating a distinct, complex, clean and consistent regional blend? It is mind boggling if you think about the terroir to processing and everything in between. And what about the human factor from farm management all the way through to brewing.  But if you think about it, the backbone of Colombian offerings are regional blends cultivated in many parts on small family-owned farms. It’s hard to pinpoint why some regional blends rise to the top each year but it sure is exciting when they do. This traceable community blend with a vibrant regional profile comes from an association called Ecoterra SAS, which has 117 members with small farms in the Department of Nariño.  This particular lot comes from producers in the communities of la Union, San Pedro de Cartago, Arboleda and San Lorenzo, who have 1-acre farms. Each producer has their own micro-mill where they carefully harvest cherries, depulp, ferment, wash and gently dry the parchment on raised beds. Imagine the harmony between these producers in farm management and post-harvest practices to achieve a clean and consistent blend. But also, just enough differences from farm to farm to create a rich complexity of flavors. An export company called Mastercol provides crucial logistical support for things like warehousing and milling coffee for export to the international market, which provides better income for everyone to reinvest in their farms and strengthen their families’ livelihoods.",Seattle,SPOT,Organic,,138 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC NARINO,https://royalcoffee.com/product/3427097000053753181/,,$729.93,154.32 lb,Full Bag,Colombia,"Arboleda, San Lorenzo, San Pedro de Cartago,and La Unión, Nariño, Colombia",1800 – 2100 masl,117 producers organized around Ecoterra SAS,"Colombia, Caturra, and Typica",Fully washed and dried on patios and elevated tables inside solar dryers that provide protection from the rain,,"Ever stop to think about all the variables that factor into creating a distinct, complex, clean and consistent regional blend? It is mind boggling if you think about the terroir to processing and everything in between. And what about the human factor from farm management all the way through to brewing.  But if you think about it, the backbone of Colombian offerings are regional blends cultivated in many parts on small family-owned farms. It’s hard to pinpoint why some regional blends rise to the top each year but it sure is exciting when they do. This traceable community blend with a vibrant regional profile comes from an association called Ecoterra SAS, which has 117 members with small farms in the Department of Nariño.  This particular lot comes from producers in the communities of la Union, San Pedro de Cartago, Arboleda and San Lorenzo, who have 1-acre farms. Each producer has their own micro-mill where they carefully harvest cherries, depulp, ferment, wash and gently dry the parchment on raised beds. Imagine the harmony between these producers in farm management and post-harvest practices to achieve a clean and consistent blend. But also, just enough differences from farm to farm to create a rich complexity of flavors. An export company called Mastercol provides crucial logistical support for things like warehousing and milling coffee for export to the international market, which provides better income for everyone to reinvest in their farms and strengthen their families’ livelihoods.",Oakland,SPOT,Organic,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC NARINO HUELLAS DE ENCANTO WOMENS COFFEE,https://royalcoffee.com/product/3427097000056174052/,,$745.37,154.32 lb,Full Bag,Colombia,"Municipalities of La Unión, Cartago, Génova, and San Lorenzo, Nariño, Colombia",1800 – 2100 masl,30 producers organized around Asociación Ecoterra SAS,"Colombia, Caturra, and Typica",Fully washed and dried on patios and elevated tables inside solar dryers that provide protection from the rain,,"Sourcing Details:Want to support women in coffee? Huellas de Encanto is a group of 30 women producers in Nariño organized through the Asociación Ecoterra SAS, who are working together to find an international market for their coffee.  Organizing as a group was a critical first step because these women are individually cultivating coffee on small farms of just a few acres.   The women have leaders from each community to establish a larger network of support.  The model of collaboration produces a traceable community blend with a vibrant regional profile.Processing Details:This particular lot was produced by 30 women producers in the municipalities of La Unión, Cartago, Génova, and San Lorenzo. During the harvest, each producer follows a strict protocol which includes picking cherries at optimum ripeness, hand sorting, floating to remove damaged and undeveloped beans, depulping and fermenting.  Fermentation is done in sealed containers, creating a controlled environment for prolonged fermentations of up to 72 hours.  After fermentation, the parchment covered seed is washed and placed on patios or raised beds to slowly dry to 11%.Exporting Details:An export company called Mastercol provides crucial logistical support for things like warehousing and milling coffee for export to the international market, which provides better income for everyone to reinvest in their farms and strengthen their families’ livelihoods.",Vancouver,SPOT,Organic,,100 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC TOLIMA,https://royalcoffee.com/product/3427097000055001089/,,$677.46,154.32 lb,Full Bag,Colombia,"Planadas, Tolima, Colombia",1400 – 2000 masl,Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES),"Caturra, Castillo, Colombia, and Typica",Fully washed and dried in the sun,,"For many years, Tolima has remained hidden in plain sight cradled between other well-known coffee growing regions because armed conflict and coca leaf production isolated small coffee producers and exposed them to high rates of violence. During this time the municipality of Planadas, located in the southernmost corner of Tolima, had remained an untapped source of specialty coffee where thousands of producers have been cultivating coffee on just a few acres of land intercropped with shade trees, bananas, corn, beans and sugarcane. As conflict has subsided in recent years, locally organized associations have taken the lead in creating market access for these producers. Established in 2014 with 59 producer-members Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES) has focused on certifications and training producers in best organic practices. The cooperative has invested in basic infrastructure needs like road improvements, establishing local warehouses, creating micro-credit for producers and investing in social programs on a larger and more impactful scale, using the collective resources generated from the sale of coffee. Environmental training programs, healthcare initiatives, life insurance, and educational opportunities are just some of the ways the cooperative strives to improve the quality of life for coffee producers and their families. Producers carefully harvest and sort cherries before depulping, fermenting, washing, and drying the coffee using their own micro-mills.",Oakland,SPOT,Organic,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC TOLIMA,https://royalcoffee.com/product/3427097000055747068/,,$702.16,154.32 lb,Full Bag,Colombia,"Planadas, Tolima, Colombia",1400 – 2000 masl,Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES),"Caturra, Castillo, Colombia, and Typica",Fully washed and dried in the sun,,"For many years, Tolima has remained hidden in plain sight cradled between other well-known coffee growing regions because armed conflict and coca leaf production isolated small coffee producers and exposed them to high rates of violence. During this time the municipality of Planadas, located in the southernmost corner of Tolima, had remained an untapped source of specialty coffee where thousands of producers have been cultivating coffee on just a few acres of land intercropped with shade trees, bananas, corn, beans and sugarcane. As conflict has subsided in recent years, locally organized associations have taken the lead in creating market access for these producers. Established in 2014 with 59 producer-members Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES) has focused on certifications and training producers in best organic practices. The cooperative has invested in basic infrastructure needs like road improvements, establishing local warehouses, creating micro-credit for producers and investing in social programs on a larger and more impactful scale, using the collective resources generated from the sale of coffee. Environmental training programs, healthcare initiatives, life insurance, and educational opportunities are just some of the ways the cooperative strives to improve the quality of life for coffee producers and their families. Producers carefully harvest and sort cherries before depulping, fermenting, washing, and drying the coffee using their own micro-mills.",Oakland,SPOT,Organic,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC TOLIMA,https://royalcoffee.com/product/3427097000055747072/,,$702.16,154.32 lb,Full Bag,Colombia,"Planadas, Tolima, Colombia",1400 – 2000 masl,Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES),"Caturra, Castillo, Colombia, and Typica",Fully washed and dried in the sun,,"For many years, Tolima has remained hidden in plain sight cradled between other well-known coffee growing regions because armed conflict and coca leaf production isolated small coffee producers and exposed them to high rates of violence. During this time the municipality of Planadas, located in the southernmost corner of Tolima, had remained an untapped source of specialty coffee where thousands of producers have been cultivating coffee on just a few acres of land intercropped with shade trees, bananas, corn, beans and sugarcane. As conflict has subsided in recent years, locally organized associations have taken the lead in creating market access for these producers. Established in 2014 with 59 producer-members Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES) has focused on certifications and training producers in best organic practices. The cooperative has invested in basic infrastructure needs like road improvements, establishing local warehouses, creating micro-credit for producers and investing in social programs on a larger and more impactful scale, using the collective resources generated from the sale of coffee. Environmental training programs, healthcare initiatives, life insurance, and educational opportunities are just some of the ways the cooperative strives to improve the quality of life for coffee producers and their families. Producers carefully harvest and sort cherries before depulping, fermenting, washing, and drying the coffee using their own micro-mills.",Oakland,SPOT,Organic,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC TOLIMA,https://royalcoffee.com/product/3427097000055747076/,,$702.16,154.32 lb,Full Bag,Colombia,"Planadas, Tolima, Colombia",1400 – 2000 masl,Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES),"Caturra, Castillo, Colombia, and Typica",Fully washed and dried in the sun,,"For many years, Tolima has remained hidden in plain sight cradled between other well-known coffee growing regions because armed conflict and coca leaf production isolated small coffee producers and exposed them to high rates of violence. During this time the municipality of Planadas, located in the southernmost corner of Tolima, had remained an untapped source of specialty coffee where thousands of producers have been cultivating coffee on just a few acres of land intercropped with shade trees, bananas, corn, beans and sugarcane. As conflict has subsided in recent years, locally organized associations have taken the lead in creating market access for these producers. Established in 2014 with 59 producer-members Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES) has focused on certifications and training producers in best organic practices. The cooperative has invested in basic infrastructure needs like road improvements, establishing local warehouses, creating micro-credit for producers and investing in social programs on a larger and more impactful scale, using the collective resources generated from the sale of coffee. Environmental training programs, healthcare initiatives, life insurance, and educational opportunities are just some of the ways the cooperative strives to improve the quality of life for coffee producers and their families. Producers carefully harvest and sort cherries before depulping, fermenting, washing, and drying the coffee using their own micro-mills.",Oakland,SPOT,Organic,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC TOLIMA,https://royalcoffee.com/product/3427097000055747080/,,$702.16,154.32 lb,Full Bag,Colombia,"Planadas, Tolima, Colombia",1400 – 2000 masl,Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES),"Caturra, Castillo, Colombia, and Typica",Fully washed and dried in the sun,,"For many years, Tolima has remained hidden in plain sight cradled between other well-known coffee growing regions because armed conflict and coca leaf production isolated small coffee producers and exposed them to high rates of violence. During this time the municipality of Planadas, located in the southernmost corner of Tolima, had remained an untapped source of specialty coffee where thousands of producers have been cultivating coffee on just a few acres of land intercropped with shade trees, bananas, corn, beans and sugarcane. As conflict has subsided in recent years, locally organized associations have taken the lead in creating market access for these producers. Established in 2014 with 59 producer-members Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES) has focused on certifications and training producers in best organic practices. The cooperative has invested in basic infrastructure needs like road improvements, establishing local warehouses, creating micro-credit for producers and investing in social programs on a larger and more impactful scale, using the collective resources generated from the sale of coffee. Environmental training programs, healthcare initiatives, life insurance, and educational opportunities are just some of the ways the cooperative strives to improve the quality of life for coffee producers and their families. Producers carefully harvest and sort cherries before depulping, fermenting, washing, and drying the coffee using their own micro-mills.",Oakland,SPOT,Organic,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC TOLIMA,https://royalcoffee.com/product/3427097000055747089/,,$702.16,154.32 lb,Full Bag,Colombia,"Planadas, Tolima, Colombia",1400 – 2000 masl,Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES),"Caturra, Castillo, Colombia, and Typica",Fully washed and dried in the sun,,"For many years, Tolima has remained hidden in plain sight cradled between other well-known coffee growing regions because armed conflict and coca leaf production isolated small coffee producers and exposed them to high rates of violence. During this time the municipality of Planadas, located in the southernmost corner of Tolima, had remained an untapped source of specialty coffee where thousands of producers have been cultivating coffee on just a few acres of land intercropped with shade trees, bananas, corn, beans and sugarcane. As conflict has subsided in recent years, locally organized associations have taken the lead in creating market access for these producers. Established in 2014 with 59 producer-members Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES) has focused on certifications and training producers in best organic practices. The cooperative has invested in basic infrastructure needs like road improvements, establishing local warehouses, creating micro-credit for producers and investing in social programs on a larger and more impactful scale, using the collective resources generated from the sale of coffee. Environmental training programs, healthcare initiatives, life insurance, and educational opportunities are just some of the ways the cooperative strives to improve the quality of life for coffee producers and their families. Producers carefully harvest and sort cherries before depulping, fermenting, washing, and drying the coffee using their own micro-mills.",Oakland,SPOT,Organic,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC TOLIMA,https://royalcoffee.com/product/3427097000055879013/,$5.62,,,Full Bag,Colombia,"Planadas, Tolima, Colombia",1400 – 2000 masl,Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES),"Caturra, Castillo, Colombia, and Typica",Fully washed and dried in the sun,,"For many years, Tolima has remained hidden in plain sight cradled between other well-known coffee growing regions because armed conflict and coca leaf production isolated small coffee producers and exposed them to high rates of violence. During this time the municipality of Planadas, located in the southernmost corner of Tolima, had remained an untapped source of specialty coffee where thousands of producers have been cultivating coffee on just a few acres of land intercropped with shade trees, bananas, corn, beans and sugarcane. As conflict has subsided in recent years, locally organized associations have taken the lead in creating market access for these producers. Established in 2014 with 59 producer-members Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES) has focused on certifications and training producers in best organic practices. The cooperative has invested in basic infrastructure needs like road improvements, establishing local warehouses, creating micro-credit for producers and investing in social programs on a larger and more impactful scale, using the collective resources generated from the sale of coffee. Environmental training programs, healthcare initiatives, life insurance, and educational opportunities are just some of the ways the cooperative strives to improve the quality of life for coffee producers and their families. Producers carefully harvest and sort cherries before depulping, fermenting, washing, and drying the coffee using their own micro-mills.",Oakland,SPOT,Organic,,37694 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC TOLIMA,https://royalcoffee.com/product/3427097000056374006/,,$751.54,154.32 lb,Full Bag,Colombia,"Planadas, Tolima, Colombia",1400 – 2000 masl,Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES),"Caturra, Castillo, Colombia, and Typica",Fully washed and dried in the sun,,"For many years, Tolima has remained hidden in plain sight cradled between other well-known coffee growing regions because armed conflict and coca leaf production isolated small coffee producers and exposed them to high rates of violence. During this time the municipality of Planadas, located in the southernmost corner of Tolima, had remained an untapped source of specialty coffee where thousands of producers have been cultivating coffee on just a few acres of land intercropped with shade trees, bananas, corn, beans and sugarcane. As conflict has subsided in recent years, locally organized associations have taken the lead in creating market access for these producers. Established in 2014 with 59 producer-members Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES) has focused on certifications and training producers in best organic practices. The cooperative has invested in basic infrastructure needs like road improvements, establishing local warehouses, creating micro-credit for producers and investing in social programs on a larger and more impactful scale, using the collective resources generated from the sale of coffee. Environmental training programs, healthcare initiatives, life insurance, and educational opportunities are just some of the ways the cooperative strives to improve the quality of life for coffee producers and their families. Producers carefully harvest and sort cherries before depulping, fermenting, washing, and drying the coffee using their own micro-mills.",Oakland,SPOT,Organic,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC TOLIMA,https://royalcoffee.com/product/3427097000055747085/,,$702.16,154.32 lb,Full Bag,Colombia,"Planadas, Tolima, Colombia",1400 – 2000 masl,Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES),"Caturra, Castillo, Colombia, and Typica",Fully washed and dried in the sun,,"For many years, Tolima has remained hidden in plain sight cradled between other well-known coffee growing regions because armed conflict and coca leaf production isolated small coffee producers and exposed them to high rates of violence. During this time the municipality of Planadas, located in the southernmost corner of Tolima, had remained an untapped source of specialty coffee where thousands of producers have been cultivating coffee on just a few acres of land intercropped with shade trees, bananas, corn, beans and sugarcane. As conflict has subsided in recent years, locally organized associations have taken the lead in creating market access for these producers. Established in 2014 with 59 producer-members Asociación de Productores de Café Especial La Orquídea (ASOPROCAFEES) has focused on certifications and training producers in best organic practices. The cooperative has invested in basic infrastructure needs like road improvements, establishing local warehouses, creating micro-credit for producers and investing in social programs on a larger and more impactful scale, using the collective resources generated from the sale of coffee. Environmental training programs, healthcare initiatives, life insurance, and educational opportunities are just some of the ways the cooperative strives to improve the quality of life for coffee producers and their families. Producers carefully harvest and sort cherries before depulping, fermenting, washing, and drying the coffee using their own micro-mills.",Oakland,SPOT,Organic,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC TOLIMA,https://royalcoffee.com/product/3427097000053753174/,,$729.93,154.32 lb,Full Bag,Colombia,,,,,,,,Oakland,SPOT,,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA ORGANIC TOLIMA WOMENS COFFEE,https://royalcoffee.com/product/3427097000056174045/,,$745.37,154.32 lb,Full Bag,Colombia,"Chaparral municipality, Tolima, Colombia",1450 – 2180 masl,84 women producers from Chaparral,"Castillo, Caturra, and Colombia",Fully washed and dried in the sun,,"Sourcing Details:Want to support women in coffee? A group women producers in Tolima organized through the Asociación Ecoterra SAS, who are working together to find an international market for their coffee.  Organizing as a group was a critical first step because these women are individually cultivating coffee on small farms of just a few acres.   The women have leaders from each community to establish a larger network of support.  The model of collaboration produces traceable community blends with vibrant regional profile.Processing Details:This particular lot was produced by 84 women producers who cultivate coffee in the municipality of Chaparral. During the harvest, each producer follows a strict protocol which includes picking cherries at optimum ripeness, hand sorting, floating to remove damaged and undeveloped beans, depulping and fermenting for periods of up to 24 hours.  After fermentation, the parchment covered seed is washed and placed on patios or raised beds to slowly dry to 11%.Exporting Details:An export company called Mastercol provides crucial logistical support for things like warehousing and milling coffee for export to the international market, which provides better income for everyone to reinvest in their farms and strengthen their families’ livelihoods.",Vancouver,SPOT,Organic,,100 Bags,,,,,,,,,,,,,,,
Colombia Quindio Campo Hermoso Honey IPA Gesha,https://royalcoffee.com/product/3427097000052045261/,,$1122.68,77.16 lb,Full Bag,Colombia,,,,,,,,Shanghai,,,,8 Bags,,,,,,,,,Edwin Noreña,Finca Campo Hermoso / 'El Alquimista',WBC Elite,WBC Producer / CoE Judge,Q-Grader; Q-Processor; head judge Colombian CoE; creator Santuario Project,Agroindustrial engineer + biotechnology; mossto = winemaking must adapted to coffee,https://www.thecoffeequest.com/edwin-norena-campo-hermoso/
COLOMBIA REGENERATIVE ORGANIC TOLIMA,https://royalcoffee.com/product/3427097000056374018/,,$777.77,154.32 lb,Full Bag,Colombia,,,,,,,We're excited to offer this new product and we're actively working on compiling information on this coffee. Please check back soon for more details.,Midwest,SPOT,,,275 Bags,,,,,,,,,,,,,,,
COLOMBIA REGENERATIVE ORGANIC TOLIMA,https://royalcoffee.com/product/3427097000056374024/,,$766.97,154.32 lb,Full Bag,Colombia,,,,,,,We're excited to offer this new product and we're actively working on compiling information on this coffee. Please check back soon for more details.,Oakland,SPOT,,,275 Bags,,,,,,,,,,,,,,,
Colombia Supremo 17/18,https://royalcoffee.com/product/3427097000055376371/,,$660.49,154.32 lb,Full Bag,Colombia,Colombia,1300 – 1650 masl,Producers from coffee communities in Colombia,"Castillo, Caturra, Colombia, and Typica",Fully washed and dried in the sun,,"In Colombia the vast majority of coffee is cultivated, harvested and processed on small family owned farms. While these producers are their own architects, designing farm management and post-harvest solutions to fit their needs, they also need strong alliances to bring their coffee to the international market and earn fair prices. To support this system of small farm production, Colombia established the Federación Nacional de Cafeteros de Colombia (FNC) to organize and support a complex network of larger regional coffee cooperatives. These cooperatives provide producers with valuable logistical support like centralized warehouses to store dried parchment and dry mills where the coffee is prepared for export. The Supremo grade, the highest rating of any Colombian bean, is the largest beans with a 17/18 designation for beans that will not pass through a screen opening below 17/64 of an inch. Supremo lots are often traceable to regions of Colombia, each with distinct harvest times, which provides for a constant supply of fresh Colombian Supremo throughout the calendar year.",Oakland,SPOT,Conventional,,275 Bags,,,,,,,,,,,,,,,
